0,{'companyName': 'Turquoise', 'dateEstablished': '1973-11-06', 'location': 'West Garyfort', 'recordLableId': 1, 'albumId': 1, 'numOfRating': 98343, 'averageRating': 1.4, 'userRating': 0, 'songId': 1, 'artistId': 1, 'name': 'Darlene Lewis', 'age': 49, 'musicianId': 1, 'instrument': 'Tambourines', 'band': 'Beige race', 'albumDuration': 5775, 'albumTitle': 'yourself point sound', 'coverURL': 'https://placekitten.com/761/911', 'genre': 'Rap', 'songDuration': 935, 'songTitle': 'top that', 'sourceLink': 'frederick-velez.com', 'year': '2005', 'knownFor': 'clearly concern'}
1,{'companyName': 'DarkSalmon', 'dateEstablished': '1982-01-10', 'location': 'North William', 'recordLableId': 2, 'albumId': 2, 'numOfRating': 58799, 'averageRating': 2.6, 'userRating': 0, 'songId': 2, 'artistId': 2, 'name': 'Miss Catherine English PhD', 'age': 39, 'musicianId': 2, 'instrument': 'Hurdy Gurdy', 'band': 'PaleGoldenRod trade', 'albumDuration': 603, 'albumTitle': 'several smile government', 'coverURL': 'https://placeimg.com/912/330/any', 'genre': 'Metal', 'songDuration': 751, 'songTitle': 'hundred school', 'sourceLink': 'wright-ramirez.com', 'year': '2005', 'knownFor': 'story government'}
2,{'companyName': 'SkyBlue', 'dateEstablished': '2001-05-16', 'location': 'Lake Angela', 'recordLableId': 3, 'albumId': 3, 'numOfRating': 47971, 'averageRating': 2.7, 'userRating': 0, 'songId': 3, 'artistId': 3, 'name': 'Matthew Shepard', 'age': 30, 'musicianId': 3, 'instrument': 'Tambourines', 'band': 'RosyBrown strong', 'albumDuration': 986, 'albumTitle': 'theory pattern significant', 'coverURL': 'https://dummyimage.com/982x633', 'genre': 'Rock', 'songDuration': 721, 'songTitle': 'son store', 'sourceLink': 'romero-gilbert.com', 'year': '2019', 'knownFor': 'debate mention'}
3,{'companyName': 'Teal', 'dateEstablished': '2012-05-31', 'location': 'Muellerborough', 'recordLableId': 4, 'albumId': 4, 'numOfRating': 49732, 'averageRating': 4.8, 'userRating': 0, 'songId': 4, 'artistId': 4, 'name': 'Robert Shea', 'age': 69, 'musicianId': 4, 'instrument': 'Hurdy Gurdy', 'band': 'Chartreuse off', 'albumDuration': 6667, 'albumTitle': 'any option radio', 'coverURL': 'https://placeimg.com/217/279/any', 'genre': 'Hip Hop', 'songDuration': 664, 'songTitle': 'each decision', 'sourceLink': 'henderson.com', 'year': '1981', 'knownFor': 'economic age'}
4,{'companyName': 'Coral', 'dateEstablished': '1974-08-04', 'location': 'Lake Andrewberg', 'recordLableId': 5, 'albumId': 5, 'numOfRating': 80912, 'averageRating': 4.8, 'userRating': 0, 'songId': 5, 'artistId': 5, 'name': 'Brooke White', 'age': 20, 'musicianId': 5, 'instrument': 'Guitar', 'band': 'OldLace history', 'albumDuration': 8959, 'albumTitle': 'amount wrong charge', 'coverURL': 'https://dummyimage.com/74x8', 'genre': 'Rap', 'songDuration': 536, 'songTitle': 'past score', 'sourceLink': 'rogers.com', 'year': '2011', 'knownFor': 'science top'}
5,{'companyName': 'PaleVioletRed', 'dateEstablished': '2012-04-19', 'location': 'Thomasberg', 'recordLableId': 6, 'albumId': 6, 'numOfRating': 41458, 'averageRating': 3.6, 'userRating': 0, 'songId': 6, 'artistId': 6, 'name': 'Emily Garcia', 'age': 18, 'musicianId': 6, 'instrument': 'Hurdy Gurdy', 'band': 'LemonChiffon themselves', 'albumDuration': 8504, 'albumTitle': 'camera once hotel', 'coverURL': 'https://placeimg.com/671/294/any', 'genre': 'Heavy Metal', 'songDuration': 779, 'songTitle': 'game energy', 'sourceLink': 'valdez.biz', 'year': '1987', 'knownFor': 'almost claim'}
6,{'companyName': 'CadetBlue', 'dateEstablished': '2013-03-20', 'location': 'Port Jeantown', 'recordLableId': 7, 'albumId': 7, 'numOfRating': 31259, 'averageRating': 1.1, 'userRating': 0, 'songId': 7, 'artistId': 7, 'name': 'Miguel Jones', 'age': 32, 'musicianId': 7, 'instrument': 'Didgeridoo', 'band': 'Brown direction', 'albumDuration': 4029, 'albumTitle': 'social perhaps growth', 'coverURL': 'https://placekitten.com/866/570', 'genre': 'Rock', 'songDuration': 575, 'songTitle': 'above along', 'sourceLink': 'rodriguez-cummings.com', 'year': '1976', 'knownFor': 'after seek'}
7,{'companyName': 'Chartreuse', 'dateEstablished': '1971-08-31', 'location': 'Stevenburgh', 'recordLableId': 8, 'albumId': 8, 'numOfRating': 1473, 'averageRating': 4.7, 'userRating': 0, 'songId': 8, 'artistId': 8, 'name': 'Christy Knox', 'age': 64, 'musicianId': 8, 'instrument': 'Drums', 'band': 'Violet rock', 'albumDuration': 5961, 'albumTitle': 'its memory ok', 'coverURL': 'https://placeimg.com/104/856/any', 'genre': 'Pop', 'songDuration': 983, 'songTitle': 'ok turn', 'sourceLink': 'castillo-smith.org', 'year': '1978', 'knownFor': 'particular face'}
8,{'companyName': 'WhiteSmoke', 'dateEstablished': '1995-05-01', 'location': 'Port Robert', 'recordLableId': 9, 'albumId': 9, 'numOfRating': 69783, 'averageRating': 3.0, 'userRating': 0, 'songId': 9, 'artistId': 9, 'name': 'Craig Rowe', 'age': 58, 'musicianId': 9, 'instrument': 'Guitar', 'band': 'RoyalBlue speech', 'albumDuration': 6858, 'albumTitle': 'art PM leg', 'coverURL': 'https://dummyimage.com/151x10', 'genre': 'Pop', 'songDuration': 219, 'songTitle': 'health very', 'sourceLink': 'fischer.com', 'year': '1996', 'knownFor': 'respond cause'}
9,{'companyName': 'Gold', 'dateEstablished': '1978-04-14', 'location': 'North Christina', 'recordLableId': 10, 'albumId': 10, 'numOfRating': 64332, 'averageRating': 2.7, 'userRating': 0, 'songId': 10, 'artistId': 10, 'name': 'James Lewis', 'age': 58, 'musicianId': 10, 'instrument': 'Hurdy Gurdy', 'band': 'Chartreuse peace', 'albumDuration': 3262, 'albumTitle': 'like amount relationship', 'coverURL': 'https://placeimg.com/595/732/any', 'genre': 'Soundtrack', 'songDuration': 842, 'songTitle': 'center heart', 'sourceLink': 'glenn-ball.info', 'year': '1998', 'knownFor': 'usually structure'}
10,{'companyName': 'DodgerBlue', 'dateEstablished': '1985-10-06', 'location': 'New Amychester', 'recordLableId': 11, 'albumId': 11, 'numOfRating': 31642, 'averageRating': 3.1, 'userRating': 0, 'songId': 11, 'artistId': 11, 'name': 'Angela Luna', 'age': 36, 'musicianId': 11, 'instrument': 'Violin', 'band': 'Maroon author', 'albumDuration': 5166, 'albumTitle': 'computer nation south', 'coverURL': 'https://placeimg.com/136/176/any', 'genre': 'Hip Hop', 'songDuration': 695, 'songTitle': 'race special', 'sourceLink': 'dickson.info', 'year': '2016', 'knownFor': 'forget common'}
